areaprot,geo\time	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 
MPA_KM2,EU27_2020	441001 	419769 	402552 	308364 	286145 	244054 	177483 	: 	: 
MPA_KM2,EU28	573131 	551899 	532417 	395528 	360350 	318127 	251566 	: 	: 
MPA_KM2,FI	8141 	8141 	7140 	7140 	7140 	7140 	7135 	7225 	6922 
MPA_KM2,FR	132689 	129613 	114057 	41685 	41703 	41697 	41680 	41736 	41625 
MPA_KM2,HR	5238 	4986 	4986 	4986 	4986 	5280 	5280 	: 	: 
MPA_KM2,HU	: z	: z	: z	: z	: z	: z	: z	: z	: z
MPA_KM2,IE	10255 	10257 	10258 	10259 	10259 	10228 	6905 	6828 	6828 
MPA_KM2,IT	12044 	6859 	6859 	6806 	6793 	6721 	6704 	6308 	5305 
MPA_KM2,LT	1563 	1563 	1563 	1563 	1310 	994 	674 	681 	686 
MPA_KM2,LU	: z	: z	: z	: z	: z	: z	: z	: z	: z
MPA_KM2,LV	4387 	4387 	4387 	4387 	4387 	4387 	4382 	4379 	4379 
MPA_KM2,MT	4142 	4142 	3490 	3490 	192 	192 	193 	191 	191 
MPA_KM2,NL	15083 	15083 	15083 	15083 	11797 	11795 	11808 	11644 	11662 
MPA_KM2,PL	7237 	7237 	7236 	7236 	7236 	7236 	7237 	7248 	7248 
MPA_KM2,PT	42434 	38052 	38052 	31885 	31885 	2634 	2619 	2408 	1756 
MPA_KM2,RO	6362 	6362 	6362 	6362 	1894 	1894 	1888 	1721 	1707 
MPA_KM2,SE	20243 	20243 	20229 	20229 	9328 	9331 	9329 	9211 	9203 
MPA_KM2,SI	10 	10 	11 	11 	11 	11 	11 	3 	3 
MPA_KM2,SK	: z	: z	: z	: z	: z	: z	: z	: z	: z
MPA_KM2,UK	132130 	132130 	129865 	87164 	74205 	74073 	74083 	73894 	49307 
MPA_PC,AT	: z	: z	: z	: z	: z	: z	: z	: z	: z
MPA_PC,BE	37 	37 	37 	37 	37 	37 	37 	37 	37 
MPA_PC,BG	8 	8 	8 	8 	8 	8 	3 	3 	3 
MPA_PC,CY	9 	0 	0 	0 	0 	0 	0 	0 	0 
MPA_PC,CZ	: z	: z	: z	: z	: z	: z	: z	: z	: z
MPA_PC,DE	46 	46 	46 	46 	46 	46 	46 	46 	46 
MPA_PC,DK	16 	16 	16 	16 	16 	16 	16 	15 	15 
MPA_PC,EE	18 	18 	18 	18 	18 	18 	18 	18 	19 
MPA_PC,EL	5 	5 	5 	1 	1 	1 	1 	1 	1 
MPA_PC,ES	8 	8 	8 	8 	8 	7 	1 	1 	1 
MPA_PC,EU27_2020	8 	7 	7 	5 	5 	4 	3 	: 	: 
MPA_PC,FI	10 	10 	9 	9 	9 	9 	9 	9 	8 
MPA_PC,FR	36 	35 	31 	11 	11 	11 	11 	11 	11 
MPA_PC,HR	9 	9 	9 	9 	9 	10 	10 	: 	: 
MPA_PC,HU	: z	: z	: z	: z	: z	: z	: z	: z	: z
MPA_PC,IE	2 	2 	2 	2 	2 	2 	1 	1 	1 
MPA_PC,IT	2 	1 	1 	1 	1 	1 	1 	1 	1 
MPA_PC,LT	24 	24 	24 	24 	20 	15 	10 	11 	11 
MPA_PC,LU	: z	: z	: z	: z	: z	: z	: z	: z	: z
MPA_PC,LV	15 	15 	15 	15 	15 	15 	15 	15 	15 
MPA_PC,MT	5 	5 	5 	5 	0 	0 	0 	0 	0 
MPA_PC,NL	26 	26 	26 	26 	20 	20 	20 	20 	20 
MPA_PC,PL	22 	22 	22 	22 	22 	22 	22 	22 	22 
MPA_PC,PT	2 	2 	2 	2 	2 	0 	0 	0 	0 
MPA_PC,RO	22 	22 	22 	22 	6 	6 	6 	6 	6 
MPA_PC,SE	13 	13 	13 	13 	6 	6 	6 	6 	6 
MPA_PC,SI	5 	5 	5 	5 	5 	5 	5 	1 	1 
